epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.6715,1.19561,4.24114,1.04025,0.00316,0.22878,0.09039,0.07515,0.88785,4.27231,0.90282,0.00014674,0.00014674,0.00014674
2,124.369,1.00322,2.94585,0.92763,0.01039,0.64823,0.2255,0.176,0.87711,3.7046,0.93323,0.000297179,0.000297179,0.000297179
3,176.672,0.91712,2.13049,0.90732,0.91401,0.15706,0.32607,0.25272,0.86143,3.50637,0.93784,0.00044458,0.00044458,0.00044458
4,228.462,0.88794,1.49067,0.89372,0.80546,0.43196,0.60403,0.46133,0.84537,2.47304,0.96483,0.000588943,0.000588943,0.000588943
5,296.664,0.8492,1.19486,0.89406,0.7972,0.69551,0.75737,0.56463,0.91107,1.78779,1.01409,0.000640587,0.000640587,0.000640587
6,367.228,0.8368,1.01787,0.89899,0.76432,0.75281,0.7831,0.61121,0.80722,1.65799,0.96203,0.000633983,0.000633983,0.000633983
7,430.764,0.82767,0.93467,0.89717,0.72958,0.8949,0.85755,0.64666,0.84801,1.38389,0.97928,0.00062738,0.00062738,0.00062738
8,493.888,0.80419,0.89891,0.89431,0.76549,0.87772,0.89232,0.66839,0.81653,1.2894,0.95916,0.000620777,0.000620777,0.000620777
9,557.972,0.80099,0.84673,0.89117,0.74859,0.86241,0.87371,0.66822,0.82379,1.42679,0.97008,0.000614174,0.000614174,0.000614174
10,621.826,0.78126,0.78105,0.89075,0.79181,0.87276,0.90223,0.70122,0.81438,1.14012,0.94953,0.00060757,0.00060757,0.00060757
11,687.298,0.7869,0.7759,0.88308,0.74802,0.86751,0.87626,0.66799,0.79585,1.12041,0.94674,0.000600967,0.000600967,0.000600967
12,764.34,0.74227,0.7102,0.87196,0.77927,0.93218,0.88748,0.69066,0.80208,1.00631,0.945,0.000594364,0.000594364,0.000594364
13,837.15,0.74269,0.68338,0.871,0.83184,0.89144,0.90227,0.70613,0.81126,1.10145,0.9389,0.00058776,0.00058776,0.00058776
14,902.199,0.75491,0.68934,0.87898,0.82161,0.96898,0.89603,0.71597,0.78643,1.05301,0.9311,0.000581157,0.000581157,0.000581157
15,965.825,0.75335,0.67211,0.87087,0.83874,0.95708,0.93786,0.74405,0.77692,0.98316,0.92656,0.000574554,0.000574554,0.000574554
16,1030.02,0.75131,0.64605,0.87359,0.87666,0.96466,0.95279,0.75102,0.80164,0.9078,0.9406,0.00056795,0.00056795,0.00056795
17,1093.97,0.74867,0.66368,0.86667,0.87029,0.96685,0.92241,0.72713,0.80529,0.96005,0.94265,0.000561347,0.000561347,0.000561347
18,1157.19,0.72485,0.63541,0.86847,0.88129,0.91991,0.94339,0.74959,0.80536,0.91403,0.94797,0.000554744,0.000554744,0.000554744
19,1225.12,0.70127,0.60436,0.86215,0.89259,0.95829,0.92878,0.73969,0.78638,0.97326,0.94468,0.000548141,0.000548141,0.000548141
20,1294.25,0.70429,0.59838,0.86599,0.87341,0.97297,0.92767,0.75028,0.7531,0.93122,0.91532,0.000541537,0.000541537,0.000541537
21,1360.54,0.72258,0.60414,0.86507,0.86801,0.9665,0.93694,0.75655,0.76734,0.8969,0.93925,0.000534934,0.000534934,0.000534934
22,1433.64,0.73052,0.58889,0.86432,0.88241,0.92033,0.93598,0.74779,0.78669,0.86049,0.93325,0.000528331,0.000528331,0.000528331
23,1496.21,0.71343,0.59212,0.86842,0.90914,0.94598,0.95013,0.74419,0.77101,0.82917,0.93038,0.000521727,0.000521727,0.000521727
24,1559.83,0.72358,0.58622,0.86719,0.87524,0.94518,0.94513,0.76547,0.7647,0.88846,0.9286,0.000515124,0.000515124,0.000515124
25,1627.93,0.71325,0.57155,0.86664,0.85767,0.98492,0.94376,0.75275,0.7858,0.84951,0.93676,0.000508521,0.000508521,0.000508521
